object_name,path,object_size,object_type,parant_directory
File_manager,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,28325,directory,Python_advanced_hws
data.csv,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,30,file,hw8
data.json,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,149,file,hw8
data.txt,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,128,file,hw8
data1.json,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,20,file,hw8
data2.json,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,109,file,hw8
main.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,1890,file,hw8
result.csv,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,0,file,hw8
result.json,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,0,file,hw8
result.pickle,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,0,file,hw8
result1.csv,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,241,file,hw8
result1.json,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,442,file,hw8
result1.pickle,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,278,file,hw8
task.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8,4892,file,hw8
__pycache__,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,15534,directory,hw8
create_file_json.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,4630,file,File_manager
create_file_txt.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,562,file,File_manager
csv_to_json.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,1715,file,File_manager
directory_reference.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,3482,file,File_manager
json_to_csv.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,1476,file,File_manager
txt_to_json.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,926,file,File_manager
__init__.py,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager,0,file,File_manager
create_file_json.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,3650,file,__pycache__
create_file_txt.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,1256,file,__pycache__
csv_to_json.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,2597,file,__pycache__
directory_reference.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,4578,file,__pycache__
json_to_csv.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,1999,file,__pycache__
txt_to_json.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,1274,file,__pycache__
__init__.cpython-312.pyc,C:\GeekBrains\Data Engineer\Python\Python_advanced_hws\hw8\File_manager\__pycache__,180,file,__pycache__
